,image_id,generator,number,female,male,age_details
1028,https://ik.imagekit.io/seeingthewords/data/mid_journey/prompt_2/MJ-DISCORD-P2-126.png,mid_journey,3,2,1,"[['Male', 80], ['Female', 28], ['Female', 80]]"
1029,https://ik.imagekit.io/seeingthewords/data/mid_journey/prompt_2/MJ-DISCORD-P2-134.png,mid_journey,3,2,1,"[['Female', 40], ['Female', 10], ['Male', 28]]"
1030,https://ik.imagekit.io/seeingthewords/data/mid_journey/prompt_2/MJ-DISCORD-P2-68.png,mid_journey,2,2,0,"[['Female', 40], ['Female', 28]]"
1031,https://ik.imagekit.io/seeingthewords/data/mid_journey/prompt_2/MJ-DISCORD-P2-5.jpg,mid_journey,4,3,1,"[['Female', 28], ['Female', 28], ['Female', 28], ['Male', 40]]"
1032,https://ik.imagekit.io/seeingthewords/data/mid_journey/prompt_2/MJ-DISCORD-P2-77.png,mid_journey,3,1,2,"[['Female', 80], ['Male', 80], ['Male', 80]]"
1033,https://ik.imagekit.io/seeingthewords/data/mid_journey/prompt_2/MJ-DISCORD-P2-29.png,mid_journey,2,0,2,"[['Male', 28], ['Male', 1]]"
1034,https://ik.imagekit.io/seeingthewords/data/mid_journey/prompt_2/MJ-DISCORD-P2-118.png,mid_journey,4,3,1,"[['Male', 80], ['Female', 80], ['Female', 80], ['Female', 28]]"
1035,https://ik.imagekit.io/seeingthewords/data/mid_journey/prompt_2/MJ-DISCORD-P2-91.png,mid_journey,2,2,0,"[['Female', 28], ['Female', 28]]"
1036,https://ik.imagekit.io/seeingthewords/data/mid_journey/prompt_2/MJ-DISCORD-P2-10.jpg,mid_journey,2,2,0,"[['Female', 1], ['Female', 28]]"
1037,https://ik.imagekit.io/seeingthewords/data/mid_journey/prompt_2/MJ-DISCORD-P2-116.png,mid_journey,2,1,1,"[['Male', 80], ['Female', 28]]"
1038,https://ik.imagekit.io/seeingthewords/data/dall_e_2/prompt_2/DL2-BETA-P2-44.png,dall_e_2,0,0,0,[]
