,Unnamed: 0,image_id,generator,number,female,male,age_group_a,age_group_b,age_group_c,json_response
32,32,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_1/SD-STABLILITY-P1-192.jpg,stabilityai,7,4,3,0,7,0,"{'status': 200, 'data': {'detections': [{'confidence': 97.77327728271484, 'left': 483, 'top': 345, 'width': 18, 'height': 24, 'gender': {'gender': 'Male', 'confidence': 88.95604705810547}, 'age': {'minimum': 30, 'maximum': 40}}, {'confidence': 98.14295196533203, 'left': 54, 'top': 332, 'width': 13, 'height': 21, 'gender': {'gender': 'Female', 'confidence': 51.01412582397461}, 'age': {'minimum': 14, 'maximum': 22}}, {'confidence': 96.22637176513672, 'left': 17, 'top': 338, 'width': 14, 'height': 19, 'gender': {'gender': 'Female', 'confidence': 91.03885650634766}, 'age': {'minimum': 14, 'maximum': 22}}, {'confidence': 92.22914123535156, 'left': 272, 'top': 335, 'width': 12, 'height': 19, 'gender': {'gender': 'Male', 'confidence': 63.91351318359375}, 'age': {'minimum': 18, 'maximum': 24}}, {'confidence': 99.66068267822266, 'left': 232, 'top': 339, 'width': 14, 'height': 16, 'gender': {'gender': 'Male', 'confidence': 78.04248046875}, 'age': {'minimum': 23, 'maximum': 31}}, {'confidence': 99.45079803466797, 'left': 64, 'top': 317, 'width': 12, 'height': 15, 'gender': {'gender': 'Female', 'confidence': 51.873069763183594}, 'age': {'minimum': 31, 'maximum': 41}}, {'confidence': 98.24398803710938, 'left': 381, 'top': 317, 'width': 10, 'height': 14, 'gender': {'gender': 'Female', 'confidence': 88.72404479980469}, 'age': {'minimum': 28, 'maximum': 38}}], 'date': '2023-07-08T13:35:28.467526', 'order': 1688823328}}"
33,33,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_1/SD-STABLILITY-P1-40.jpg,stabilityai,13,7,6,1,12,0,"{'status': 200, 'data': {'detections': [{'confidence': 94.78815460205078, 'left': 37, 'top': 309, 'width': 15, 'height': 18, 'gender': {'gender': 'Female', 'confidence': 88.20528411865234}, 'age': {'minimum': 39, 'maximum': 47}}, {'confidence': 91.5225601196289, 'left': 101, 'top': 339, 'width': 14, 'height': 18, 'gender': {'gender': 'Male', 'confidence': 94.791015625}, 'age': {'minimum': 24, 'maximum': 34}}, {'confidence': 94.11272430419922, 'left': 361, 'top': 339, 'width': 15, 'height': 16, 'gender': {'gender': 'Female', 'confidence': 97.83399963378906}, 'age': {'minimum': 33, 'maximum': 41}}, {'confidence': 99.74796295166016, 'left': 235, 'top': 333, 'width': 13, 'height': 18, 'gender': {'gender': 'Female', 'confidence': 91.6964340209961}, 'age': {'minimum': 19, 'maximum': 27}}, {'confidence': 94.06959533691406, 'left': 122, 'top': 295, 'width': 13, 'height': 18, 'gender': {'gender': 'Male', 'confidence': 91.99956512451172}, 'age': {'minimum': 33, 'maximum': 41}}, {'confidence': 94.60807800292969, 'left': 456, 'top': 300, 'width': 13, 'height': 15, 'gender': {'gender': 'Male', 'confidence': 86.36885070800781}, 'age': {'minimum': 16, 'maximum': 24}}, {'confidence': 96.2906265258789, 'left': 292, 'top': 316, 'width': 13, 'height': 14, 'gender': {'gender': 'Female', 'confidence': 92.65626525878906}, 'age': {'minimum': 16, 'maximum': 22}}, {'confidence': 95.74430847167969, 'left': 126, 'top': 361, 'width': 12, 'height': 15, 'gender': {'gender': 'Male', 'confidence': 99.37592315673828}, 'age': {'minimum': 19, 'maximum': 27}}, {'confidence': 95.96517944335938, 'left': 202, 'top': 273, 'width': 11, 'height': 14, 'gender': {'gender': 'Female', 'confidence': 98.49225616455078}, 'age': {'minimum': 16, 'maximum': 24}}, {'confidence': 94.74031066894531, 'left': 440, 'top': 297, 'width': 11, 'height': 13, 'gender': {'gender': 'Female', 'confidence': 55.78664016723633}, 'age': {'minimum': 16, 'maximum': 24}}, {'confidence': 93.43074035644531, 'left': 252, 'top': 288, 'width': 11, 'height': 13, 'gender': {'gender': 'Male', 'confidence': 92.98590087890625}, 'age': {'minimum': 23, 'maximum': 31}}, {'confidence': 94.12455749511719, 'left': 157, 'top': 282, 'width': 11, 'height': 12, 'gender': {'gender': 'Male', 'confidence': 99.13790893554688}, 'age': {'minimum': 24, 'maximum': 34}}, {'confidence': 96.89170837402344, 'left': 406, 'top': 299, 'width': 10, 'height': 12, 'gender': {'gender': 'Female', 'confidence': 84.2055892944336}, 'age': {'minimum': 6, 'maximum': 16}}], 'date': '2023-07-08T13:35:30.776562', 'order': 1688823330}}"
34,34,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_1/SD-STABLILITY-P1-170.jpg,stabilityai,0,0,0,0,0,0,"{'status': 200, 'data': {'detections': [], 'date': '2023-07-08T13:35:31.573030', 'order': 1688823331}}"
35,35,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_1/SD-STABLILITY-P1-37.jpg,stabilityai,0,0,0,0,0,0,"{'status': 200, 'data': {'detections': [], 'date': '2023-07-08T13:35:32.247838', 'order': 1688823332}}"
36,36,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_1/SD-STABLILITY-P1-140.jpg,stabilityai,0,0,0,0,0,0,"{'status': 200, 'data': {'detections': [], 'date': '2023-07-08T13:35:33.040832', 'order': 1688823333}}"
37,37,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_1/SD-STABLILITY-P1-106.jpg,stabilityai,0,0,0,0,0,0,"{'status': 200, 'data': {'detections': [], 'date': '2023-07-08T13:35:33.720005', 'order': 1688823333}}"
38,38,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_1/SD-STABLILITY-P1-93.jpg,stabilityai,0,0,0,0,0,0,"{'status': 200, 'data': {'detections': [], 'date': '2023-07-08T13:35:34.534524', 'order': 1688823334}}"
39,39,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_1/SD-STABLILITY-P1-23.jpg,stabilityai,0,0,0,0,0,0,"{'status': 200, 'data': {'detections': [], 'date': '2023-07-08T13:35:35.229800', 'order': 1688823335}}"
40,40,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_1/SD-STABLILITY-P1-42.jpg,stabilityai,1,0,1,0,1,0,"{'status': 200, 'data': {'detections': [{'confidence': 98.63348388671875, 'left': 80, 'top': 270, 'width': 15, 'height': 24, 'gender': {'gender': 'Male', 'confidence': 98.87713623046875}, 'age': {'minimum': 21, 'maximum': 29}}], 'date': '2023-07-08T13:35:36.193769', 'order': 1688823336}}"
41,41,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_1/SD-STABLILITY-P1-128.jpg,stabilityai,0,0,0,0,0,0,"{'status': 200, 'data': {'detections': [], 'date': '2023-07-08T13:35:36.882996', 'order': 1688823336}}"
