,image_id,generator,number,female,male,age_group_a,age_group_b,age_group_c,json_response
33,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_0/SD-STABLILITY-P0-85.jpg,stabilityai,2,2,0,0,2,0,"{'status': 200, 'data': {'detections': [{'confidence': 99.47200775146484, 'left': 230, 'top': 118, 'width': 36, 'height': 48, 'gender': {'gender': 'Female', 'confidence': 99.93121337890625}, 'age': {'minimum': 33, 'maximum': 41}}, {'confidence': 99.32755279541016, 'left': 363, 'top': 141, 'width': 25, 'height': 37, 'gender': {'gender': 'Female', 'confidence': 98.9486312866211}, 'age': {'minimum': 21, 'maximum': 29}}], 'date': '2023-07-08T14:24:54.546982', 'order': 1688826294}}"
34,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_0/SD-STABLILITY-P0-29.jpg,stabilityai,0,0,0,0,0,0,"{'status': 200, 'data': {'detections': [], 'date': '2023-07-08T14:24:55.214493', 'order': 1688826295}}"
35,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_0/SD-STABLILITY-P0-86.jpg,stabilityai,1,0,1,0,1,0,"{'status': 200, 'data': {'detections': [{'confidence': 91.38198852539062, 'left': 262, 'top': 90, 'width': 31, 'height': 37, 'gender': {'gender': 'Male', 'confidence': 99.52034759521484}, 'age': {'minimum': 26, 'maximum': 36}}], 'date': '2023-07-08T14:24:56.196540', 'order': 1688826296}}"
36,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_0/SD-STABLILITY-P0-143.jpg,stabilityai,2,0,2,0,2,0,"{'status': 200, 'data': {'detections': [{'confidence': 99.92285919189453, 'left': 228, 'top': 22, 'width': 37, 'height': 49, 'gender': {'gender': 'Male', 'confidence': 99.96839904785156}, 'age': {'minimum': 26, 'maximum': 36}}, {'confidence': 99.93707275390625, 'left': 155, 'top': 57, 'width': 38, 'height': 42, 'gender': {'gender': 'Male', 'confidence': 91.6073226928711}, 'age': {'minimum': 25, 'maximum': 35}}], 'date': '2023-07-08T14:24:56.988538', 'order': 1688826296}}"
37,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_0/SD-STABLILITY-P0-51.jpg,stabilityai,2,1,1,1,1,0,"{'status': 200, 'data': {'detections': [{'confidence': 97.12136840820312, 'left': 234, 'top': 26, 'width': 42, 'height': 58, 'gender': {'gender': 'Male', 'confidence': 99.97578430175781}, 'age': {'minimum': 41, 'maximum': 49}}, {'confidence': 98.01890563964844, 'left': 391, 'top': 342, 'width': 9, 'height': 12, 'gender': {'gender': 'Female', 'confidence': 62.198726654052734}, 'age': {'minimum': 6, 'maximum': 14}}], 'date': '2023-07-08T14:24:57.871553', 'order': 1688826297}}"
38,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_0/SD-STABLILITY-P0-151.jpg,stabilityai,1,1,0,0,1,0,"{'status': 200, 'data': {'detections': [{'confidence': 99.88111114501953, 'left': 342, 'top': 100, 'width': 33, 'height': 46, 'gender': {'gender': 'Female', 'confidence': 99.18824768066406}, 'age': {'minimum': 29, 'maximum': 39}}], 'date': '2023-07-08T14:24:58.637546', 'order': 1688826298}}"
39,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_0/SD-STABLILITY-P0-123.jpg,stabilityai,2,2,0,0,2,0,"{'status': 200, 'data': {'detections': [{'confidence': 99.8741683959961, 'left': 413, 'top': 291, 'width': 32, 'height': 36, 'gender': {'gender': 'Female', 'confidence': 99.99884796142578}, 'age': {'minimum': 16, 'maximum': 24}}, {'confidence': 99.7755126953125, 'left': 84, 'top': 297, 'width': 35, 'height': 31, 'gender': {'gender': 'Female', 'confidence': 66.44258117675781}, 'age': {'minimum': 25, 'maximum': 35}}], 'date': '2023-07-08T14:24:59.618395', 'order': 1688826299}}"
40,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_0/SD-STABLILITY-P0-9.jpg,stabilityai,2,1,1,0,2,0,"{'status': 200, 'data': {'detections': [{'confidence': 94.54104614257812, 'left': 92, 'top': 160, 'width': 24, 'height': 30, 'gender': {'gender': 'Male', 'confidence': 99.50338745117188}, 'age': {'minimum': 25, 'maximum': 35}}, {'confidence': 90.66072082519531, 'left': 410, 'top': 260, 'width': 22, 'height': 32, 'gender': {'gender': 'Female', 'confidence': 99.8940200805664}, 'age': {'minimum': 21, 'maximum': 29}}], 'date': '2023-07-08T14:25:00.590051', 'order': 1688826300}}"
41,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_0/SD-STABLILITY-P0-88.jpg,stabilityai,2,0,2,0,2,0,"{'status': 200, 'data': {'detections': [{'confidence': 92.2621841430664, 'left': 175, 'top': 72, 'width': 40, 'height': 55, 'gender': {'gender': 'Male', 'confidence': 98.35388946533203}, 'age': {'minimum': 30, 'maximum': 40}}, {'confidence': 97.28963470458984, 'left': 353, 'top': 105, 'width': 37, 'height': 42, 'gender': {'gender': 'Male', 'confidence': 84.56536102294922}, 'age': {'minimum': 23, 'maximum': 33}}], 'date': '2023-07-08T14:25:01.629502', 'order': 1688826301}}"
42,https://ik.imagekit.io/seeingthewords/data/stabilityai/prompt_0/SD-STABLILITY-P0-0.jpg,stabilityai,1,0,1,0,1,0,"{'status': 200, 'data': {'detections': [{'confidence': 97.10062408447266, 'left': 303, 'top': 44, 'width': 43, 'height': 59, 'gender': {'gender': 'Male', 'confidence': 95.28321838378906}, 'age': {'minimum': 28, 'maximum': 38}}], 'date': '2023-07-08T14:25:02.503131', 'order': 1688826302}}"
